name,Atlanta United FC,Austin FC,Charlotte SC,Chicago Fire FC,FC Cincinnati,Colorado Rapids,Columbus Crew SC,FC Dallas,D.C. United,Houston Dynamo FC,Inter Miami CF,LA Galaxy,Los Angeles FC,Minnesota United FC,CF Montréal,Nashville SC,New England Revolution,New York City FC,New York Red Bulls,Orlando City SC,Philadelphia Union,Portland Timbers,Real Salt Lake,San Jose Earthquakes,Seattle Sounders FC,Sporting Kansas City,St. Louis City SC,Toronto FC,Vancouver Whitecaps FC
Atlanta United FC,,14.026944444444444,3.8786111111111112,10.786666666666667,6.8069444444444445,20.42361111111111,8.433055555555555,11.726111111111111,9.663611111111111,11.559166666666666,9.539166666666667,32.39944444444444,32.27472222222222,16.429166666666667,18.662222222222223,3.783888888888889,16.42222222222222,13.273055555555555,12.976666666666667,6.297777777777778,11.5175,38.23083333333334,27.679166666666667,36.316944444444445,39.329166666666666,12.0775,8.247777777777777,14.33,41.61888888888889
Austin FC,14.026944444444444,,17.58138888888889,16.918333333333333,16.47138888888889,14.218055555555555,18.09722222222222,3.326111111111111,22.465833333333332,2.6594444444444445,19.503888888888888,20.5975,20.476666666666667,16.848333333333333,28.932777777777776,12.55,29.040555555555557,25.92861111111111,25.63361111111111,16.26222222222222,24.195555555555554,31.68888888888889,20.33888888888889,25.54,32.78944444444444,10.351111111111111,12.596111111111112,23.871388888888887,35.110277777777775
Charlotte SC,3.8786111111111112,17.58138888888889,,11.735555555555555,7.569444444444445,23.848055555555554,6.881388888888889,15.481666666666667,6.024444444444445,15.261388888888888,10.5325,35.524166666666666,36.030277777777776,17.601388888888888,15.023055555555555,6.570277777777778,12.783055555555556,9.633888888888889,9.3375,7.559166666666667,7.878333333333333,40.85,31.10333333333333,40.0725,41.840555555555554,14.856111111111112,11.034166666666666,11.705277777777777,44.16138888888889
Chicago Fire FC,10.786666666666667,16.918333333333333,11.735555555555555,,4.676111111111111,14.5275,5.586111111111111,13.920277777777779,11.027777777777779,16.370555555555555,20.22388888888889,29.680555555555557,29.631666666666668,6.023611111111111,12.981944444444444,7.237777777777778,14.759722222222223,12.043333333333333,11.949166666666667,16.982222222222223,11.715,31.17527777777778,20.62361111111111,31.75583333333333,30.262777777777778,7.840277777777778,4.453611111111111,8.058055555555555,32.58361111111111
FC Cincinnati,6.8069444444444445,16.47138888888889,7.569444444444445,4.676111111111111,,17.349722222222223,1.6644444444444444,14.02,8.022777777777778,15.9125,16.196666666666665,32.735277777777775,32.68611111111111,10.405555555555555,12.533333333333333,4.07,13.050833333333333,10.169166666666667,9.873888888888889,12.955,8.863888888888889,34.7225,24.170833333333334,35.30305555555555,34.645,9.003333333333334,5.277222222222222,7.623611111111111,36.965833333333336
Colorado Rapids,20.42361111111111,14.218055555555555,23.848055555555554,14.5275,17.349722222222223,,18.288055555555555,12.011944444444444,24.725555555555555,15.450277777777778,29.69361111111111,15.381944444444445,15.332777777777778,12.974444444444444,26.971666666666668,16.611944444444443,28.80638888888889,26.09,25.889444444444443,26.451944444444443,25.566666666666666,19.44,8.108888888888888,19.224166666666665,20.072222222222223,8.361944444444445,12.185,21.91,22.393055555555556
Columbus Crew SC,8.433055555555555,18.09722222222222,6.881388888888889,5.586111111111111,1.6644444444444444,18.288055555555555,,15.670277777777779,6.6475,17.56277777777778,17.295555555555556,32.911944444444444,32.863055555555555,11.315277777777778,11.0175,5.720277777777778,11.601111111111111,8.589722222222223,8.38888888888889,14.322222222222223,7.488611111111111,35.742222222222225,25.190555555555555,36.32277777777778,35.55444444444444,10.079166666666667,6.355833333333333,6.566666666666666,37.875277777777775
FC Dallas,11.726111111111111,3.326111111111111,15.481666666666667,13.920277777777779,14.02,12.011944444444444,15.670277777777779,,19.93166666666667,4.111111111111111,19.60527777777778,21.389444444444443,21.26888888888889,14.0125,26.101666666666667,10.015833333333333,26.506666666666668,23.39472222222222,23.099444444444444,16.363611111111112,21.661666666666665,30.352222222222224,18.944166666666668,26.331944444444446,31.45277777777778,7.724444444444444,9.575277777777778,21.040277777777778,33.77361111111111
D.C. United,9.663611111111111,22.465833333333332,6.024444444444445,11.027777777777779,8.022777777777778,24.725555555555555,6.6475,19.93166666666667,,20.814166666666665,15.252777777777778,39.32805555555556,39.27916666666667,16.711388888888887,9.177222222222222,10.0125,6.937222222222222,4.001666666666667,3.705,12.279444444444444,2.246111111111111,41.61388888888889,31.0625,42.19444444444444,40.950833333333335,16.481666666666666,12.755277777777778,8.529444444444444,43.27166666666667
Houston Dynamo FC,11.559166666666666,2.6594444444444445,15.261388888888888,16.370555555555555,15.9125,15.450277777777778,17.56277777777778,4.111111111111111,20.814166666666665,,17.036666666666665,22.815555555555555,22.738611111111112,17.664722222222224,28.322777777777777,11.94,27.364722222222223,24.2525,23.9575,13.795,22.519444444444446,33.84361111111111,22.396944444444443,27.758055555555554,34.94416666666667,11.263333333333334,12.1425,23.261388888888888,37.220555555555556
