name,Atlanta United FC,Austin FC,Charlotte SC,Chicago Fire FC,FC Cincinnati,Colorado Rapids,Columbus Crew SC,FC Dallas,D.C. United,Houston Dynamo FC,Inter Miami CF,LA Galaxy,Los Angeles FC,Minnesota United FC,CF Montréal,Nashville SC,New England Revolution,New York City FC,New York Red Bulls,Orlando City SC,Philadelphia Union,Portland Timbers,Real Salt Lake,San Jose Earthquakes,Seattle Sounders FC,Sporting Kansas City,St. Louis City SC,Toronto FC,Vancouver Whitecaps FC
Atlanta United FC,,1316.0403761638333,364.8889280204094,944.9404249662787,594.3023368559533,1948.3902909550022,704.0162721419667,1155.1000671257516,874.7389361570398,1127.0778828795599,972.9556653310548,3113.895672562908,3114.4267345790927,1453.3246130306204,1605.6324513640782,344.7877912399174,1476.2118629813504,1214.1805775700345,1192.9657833376077,646.49900380637,1048.4470773441876,3491.0074984643957,2540.2473642034365,3393.8339691620886,3505.0002565244786,1106.1145561053636,751.0108925362724,1184.240638512422,3603.563177851017
Austin FC,1316.0403761638333,,1672.2245831420216,1576.6478114018432,1556.3321681718387,1248.5178670259793,1716.8681380203352,332.8338495541007,2122.596613114357,237.03721558883078,1790.5344437126835,1977.878466907655,1975.1802638983334,1682.1553927562927,2702.1705004825485,1212.251234215359,2700.9526531077745,2443.625219664648,2422.3803928823104,1593.929873073573,2288.543173530116,2750.390229328098,1716.5781963007482,2358.046509472659,2847.84760183727,1020.5254526557067,1158.4424343426099,2202.2174025613126,3001.634466430307
Charlotte SC,364.8889280204094,1672.2245831420216,,943.8807126337373,539.2395427848699,2183.1979348302534,563.7393388193295,1487.5591539602015,530.7278733401461,1489.6883667711845,1050.2150949527831,3408.1533027713226,3409.500397663369,1502.6468175976797,1303.961141997266,546.1112474681801,1127.8055418456656,868.6313526714761,847.9194055182231,745.7389448232319,702.3624597882074,3679.401319822527,2774.1189290052357,3658.9355756951927,3671.6200967491554,1310.8711221603498,913.2217827768445,945.693769135052,3753.5828107974135
Chicago Fire FC,944.9404249662787,1576.6478114018432,943.8807126337373,,404.7069546129217,1477.3440576493715,437.93902189621446,1263.226642620949,960.6521264340728,1515.7542279972724,1911.57915484635,2806.887998481557,2811.058845529796,564.0141979799462,1201.2551377928364,637.8162609769732,1350.3094324911824,1147.6774560853669,1131.1222659718478,1584.8959741128301,1053.3424004374149,2827.031701969296,2029.2201441829084,2959.994244290734,2791.227408100806,681.3328305151999,421.50267448679205,703.6565458622673,2854.7611850204476
FC Cincinnati,594.3023368559533,1556.3321681718387,539.2395427848699,404.7069546129217,,1757.1501951088128,160.8008443365778,1287.9568621076608,651.599204380699,1437.071876328959,1532.6893406828926,3049.411329995596,3052.2818533111454,965.7589120231347,1151.0006990637278,382.4225867531623,1165.6291324397632,921.7732423494888,901.6891120668579,1208.7386845638332,787.668631236059,3189.0999269249814,2335.23165775253,3249.606086754607,3166.593967221692,889.7914964639008,495.5935385763487,664.5721312834099,3238.9585029780205
Colorado Rapids,1948.3902909550022,1248.5178670259793,2183.1979348302534,1477.3440576493715,1757.1501951088128,,1869.1621302587107,1037.980829885942,2402.5682436179795,1421.1172432584856,2777.220668372434,1339.2840676736405,1344.4447620701835,1126.69577795952,2630.6852106850306,1643.9526312292119,2826.371832677137,2623.1670412178155,2605.9932344590234,2495.005688305067,2518.166336819408,1576.7240282691919,592.5464976204138,1492.6391688657582,1636.001473239698,875.9853908890755,1279.9686325477855,2162.170208123524,1774.0554225725266
Columbus Crew SC,704.0162721419667,1716.8681380203352,563.7393388193295,437.93902189621446,160.8008443365778,1869.1621302587107,,1445.8851757065581,535.0571896250074,1597.4308491507625,1599.9308195843269,3176.307033982213,3179.5549753799564,996.1045495342323,990.5792716665906,536.878017419892,1013.6467374434695,776.4679941046696,757.0791565905447,1282.3415150565206,652.9910560102416,3262.4063488317174,2438.6604547673305,3360.999263238745,3228.9789304727965,1014.9864370071119,634.9296801294852,508.95580856251036,3292.4447397847575
FC Dallas,1155.1000671257516,332.8338495541007,1487.5591539602015,1263.226642620949,1287.9568621076608,1037.980829885942,1445.8851757065581,,1891.63734959603,403.61600583019447,1803.3218722440922,1986.9641454997886,1986.2684788788338,1349.6384297457068,2417.4978846210415,978.5491951461516,2449.900345430047,2198.524082778129,2177.6712709720014,1558.6809664017749,2050.563084045607,2597.53225599429,1570.7069924618088,2315.744956596627,2671.2932210322415,687.7044833333327,852.6942690778317,1913.280385554327,2812.0098868607697
D.C. United,874.7389361570398,2122.596613114357,530.7278733401461,960.6521264340728,651.599204380699,2402.5682436179795,535.0571896250074,1891.63734959603,,1964.1179984438775,1484.2409551593394,3701.0035067356216,3703.8806941353787,1497.0119216221956,796.4973964125032,914.9064108036488,601.4742321268454,339.7127971236922,318.6325331838092,1219.1318605252532,173.7082251089763,3786.3210726662087,2973.6926368637387,3894.950625848234,3744.161014439796,1540.668263865897,1146.4494791676877,567.7914771565081,3798.728981132897
Houston Dynamo FC,1127.0778828795599,237.03721558883078,1489.6883667711845,1515.7542279972724,1437.071876328959,1421.1172432584856,1597.4308491507625,403.61600583019447,1964.1179984438775,,1553.5931939801353,2214.244466962231,2211.6428492287173,1701.6184764720117,2588.006048703179,1071.5808748393022,2553.821381170022,2293.291165145624,2271.885519495727,1361.5276341477356,2133.837975538776,2954.4591929602025,1920.7288813272814,2589.861700828113,3042.150933664172,1043.2576265209525,1094.7708941705534,2096.89167345955,3189.929136866837
